f1,f2
4.0023131470,0.0000003343
0.0000000241,4.0006212141
3.9189293791,0.0004149941
0.7429882654,1.2951175824
3.6621345867,0.0074527914
0.0463484184,3.1852011056
3.1685850594,0.0483771305
0.5183618917,1.6384677501
0.4473815819,1.7719180126
1.1949069955,0.8224349341
3.0493225555,0.0643987271
2.6650601529,0.1350553714
0.0017743927,3.8332802287
1.7957318785,0.4355350485
0.0846777319,2.9207001932
0.2240918077,2.3305583584
0.0638591845,3.0530441906
1.6861644558,0.4920686449
2.7951464566,0.1076698544
0.8108982758,1.2089026605
0.6877116262,1.3705764135
0.2418757610,2.2746411089
1.6463588353,0.5139382207
1.1379554565,0.8709556552
2.1079561117,0.3004353165
2.0164871768,0.3363643939
1.2398474003,0.7859099957
0.3458515691,1.9934857163
0.1041710278,2.8131495543
2.0025957477,0.3420717469
0.0352166034,3.2845731096
2.4308213683,0.1943847341
3.5479023836,0.0135518384
0.1254089013,2.7088841324
2.3389164391,0.2215098787
0.0112824187,3.5864074962
1.8868607455,0.3923387528
1.5417759682,0.5750451026
1.9192859358,0.3777541103
0.8900803121,1.1163176018
2.2610726493,0.2463272358
1.1123249890,0.8936522328
0.2022653586,2.4033085114
3.6007419089,0.0104935241
3.3229510197,0.0313657109
0.0327021113,3.3093531083
1.0184115662,0.9817563841
0.0206043170,3.4464361599
0.5795926168,1.5343534030
3.4775731197,0.0182722198
2.5731370329,0.1567367550
0.0047222077,3.7298489223
0.0238967760,3.4055534931
0.3154157267,2.0689403479
0.6203035020,1.4699295509
0.0138887284,3.5424869320
0.1879092108,2.4539693697
1.5068987666,0.5966665658
0.9534931025,1.0476142462
0.3917793672,1.8880881171
2.5520574143,0.1619933592
1.5836494071,0.5499240954
0.3622601192,1.9547381759
0.6505139498,1.4243361498
2.4911866071,0.1777892876
0.4198295143,1.8280594186
0.0749827602,2.9796635541
1.8236296689,0.4219563446
0.1624748945,2.5501479079
0.9866511954,1.0134384995
0.1679631032,2.5286310283
0.2638871169,2.2090893482
0.3868403498,1.8989807081
3.3819117278,0.0259218118
0.9138553221,1.0900241080
2.3601941530,0.2150247942
2.6401173514,0.1407421797
0.8473891667,1.1652394322
0.5624535187,1.5625774714
0.3087563194,2.0861224965
0.1107613800,2.7795280873
2.9375485682,0.0818372928
2.8945787909,0.0891941100
0.0000037054,3.9923039840
1.3353442215,0.7130604197
0.0656888217,3.0404955976
1.2863104591,0.7496853539
0.2886381636,2.1396359259
3.2452932185,0.0394142648
0.4234068718,1.8206179929
0.0004480661,3.9157777798
0.2661167728,2.2026564836
0.1483351168,2.6077631876
0.0075006940,3.6610745051
0.8152634400,1.2035858464
0.0006187925,3.9011166342
2.1935272676,0.2693027376
1.3489297826,0.7031923254
1.0771537519,0.9257130345
0.6038948689,1.4954679513
