f1,f2
3.9993353461,0.0000000276
0.0000000009,4.0001186912
0.0101336858,3.6074688467
3.7984093806,0.0026060166
1.5360507819,0.5785501505
0.0022971148,3.8105842142
0.9848806835,1.0152344857
2.1064951099,0.3009872287
3.3122795273,0.0324119161
1.0771785686,0.9256900286
0.0190874082,3.4664586622
0.8495717931,1.1626830384
2.0245111578,0.3330984575
0.0010472833,3.8716002539
1.3585088332,0.6963053487
0.2943257532,2.1242538531
2.4308510839,0.1943763311
0.2546349864,2.2361801858
0.5250268044,1.6266774689
1.4604175882,0.6265080513
1.8902658204,0.3907882883
2.5891042286,0.1528267596
1.2442859321,0.7823833207
3.6205424836,0.0094532227
0.3457612463,1.9937025860
0.3846751042,1.9037878299
3.0318841096,0.0669615864
0.0868233226,2.9081914200
0.0327446026,3.3089258120
2.5305076468,0.1674798810
3.1076573073,0.0562378107
1.1107468015,0.8950678735
0.7708671110,1.2589055828
0.1070019502,2.7985558477
0.1297031030,2.6891304225
1.3890615630,0.6747233265
2.9792961360,0.0750410584
0.6818398414,1.3788960843
3.4707646508,0.0187693198
0.0215332157,3.4345652007
1.1958470845,0.8216553475
0.3916489785,1.8883743919
1.2885909655,0.7479461381
0.0000116927,3.9863338435
2.7500852432,0.1167328561
0.0063767148,3.6869593752
2.1567739036,0.2823903225
3.2274172932,0.0414116787
0.1831268083,2.4713940801
1.4394010067,0.6403994327
0.3175181001,2.0635683222
1.9796165860,0.3516626615
0.1053034413,2.8072837726
0.2364251665,2.2914823232
2.4022582200,0.2025702020
1.5976208470,0.5417397614
2.6715154204,0.1336069837
0.4268921406,1.8134128028
3.3915805033,0.0250828244
3.1573367208,0.0497782418
0.5588334854,1.5686268426
0.0519399489,3.1403264439
1.7066842919,0.4810791910
2.8734959095,0.0929402868
0.9295081802,1.0730679974
0.0505670959,3.1510819461
0.6409346767,1.4385988375
1.6552188363,0.5090065029
2.3424441550,0.2204259845
2.8088044398,0.1050091687
2.9150675264,0.0856399938
0.4911524734,1.6878616260
0.0633215816,3.0567703876
0.9295081802,1.0730679974
3.5594943742,0.0128454499
0.5823492780,1.5298767641
0.4585163667,1.7499629027
3.7059893790,0.0056108127
1.8277423719,0.4199814720
0.0407960153,3.2328750760
2.2832841718,0.2390681971
2.6859288141,0.1304073989
0.2221769824,2.3367508452
0.8303034697,1.1854638963
2.2377673417,0.2540997818
0.4341798886,1.7984867696
0.2997851762,2.1096795122
0.0063767148,3.6869593752
1.1531346319,0.8577703737
3.2026814728,0.0442665949
0.9629912402,1.0377065572
1.2829970067,0.7522186953
2.3256797313,0.2256079530
0.6098432126,1.4861448594
1.1716457896,0.8419422624
1.8065357221,0.4302385248
0.8303034697,1.1854638963
0.4997672149,1.6719985824
0.2511169721,2.2466540631
0.4585163667,1.7499629027
